REQUEST_DATE|SCENARIO_SEQ|REQUEST_SEQ|XPOS|YPOS|SISUL_CD1|RSRP1|SINR1|SISUL_CD2|RSRP2|SINR2|SISUL_CD3|RSRP3|SINR3
43740|1|1|127-06-03.580|37-30-14.599|2019Y8414|-85.92756|19.22||||||
43740|1|1|127-06-03.580|37-30-14.923|2019Y8414|-87.09985|10.22||||||
43740|1|1|127-06-03.581|37-30-15.247|20193AYPT|-99.48301|5.91||||||
43740|1|1|127-06-03.581|37-30-15.572|20193AYPT|-122.859825|0.09||||||
43740|1|1|127-06-03.581|37-30-15.896|2019Y8414|-105.93002|16.91||||||
43740|1|1|127-06-03.582|37-30-16.220|2019Y8414|-95.48205|8.43||||||
43740|1|1|127-06-03.582|37-30-16.545|2019Y8414|-94.06477|9.56||||||
43740|1|1|127-06-03.583|37-30-16.869|2019Y8414|-119.535774|2.88||||||
43740|1|1|127-06-03.583|37-30-17.193|20193AYPT|-120.72567|1.38||||||
43740|1|1|127-06-03.584|37-30-17.518|20193AYPT|-120.62537|1.79||||||
43740|1|1|127-06-03.584|37-30-17.842|20193AYPT|-96.46515|6.6||||||
43740|1|1|127-06-03.584|37-30-18.167|20193AYPT|-120.2256|1.94||||||
43740|1|1|127-06-03.585|37-30-18.491|20193AYPT|-96.105|6.15||||||
43740|1|1|127-06-03.585|37-30-18.815|20193AS1H|-119.395676|2.58||||||
43740|1|1|127-06-03.586|37-30-19.140|20193AS1H|-94.79785|6.74||||||
43740|1|1|127-06-03.586|37-30-19.464|20193AS1H|-118.522675|3.22||||||
43740|1|1|127-06-03.587|37-30-19.788|20193AS1H|-119.09969|2.83||||||
43740|1|1|127-06-03.587|37-30-20.113|20193AS1H|-118.91204|2.86||||||
43740|1|1|127-06-03.587|37-30-20.437|201935867|-94.769905|7.14||||||
43740|1|1|127-06-03.588|37-30-20.761|201935867|-95.2022|6.87||||||
43740|1|1|127-06-03.588|37-30-21.086|20193AS1H|-119.909645|2.35||||||
43740|1|1|127-06-03.589|37-30-21.410|201935867|-120.325096|2||||||
43740|1|1|127-06-03.589|37-30-21.734|201935867|-120.52982|1.77||||||
43740|1|1|127-06-03.590|37-30-22.059|201935867|-120.80206|1.51||||||
43740|1|1|127-06-03.590|37-30-22.383|201935867|-96.00323|7.24||||||
43740|1|1|127-06-03.591|37-30-22.708|2019Y0680|-96.80085|5.41||||||
43740|1|1|127-06-03.591|37-30-23.032|201935867|-96.67418|6.08||||||
43740|1|1|127-06-03.591|37-30-23.356|2019Y2178|-101.41232|19.14||||||
43740|1|1|127-06-03.592|37-30-23.681|2019Y2178|-76.43376|20.74||||||
43740|1|1|127-06-03.592|37-30-24.005|201935867|-73.20387|25.3||||||
43740|1|1|127-06-03.593|37-30-24.329|2019Y2178|-81.10701|12.05||||||
43740|1|1|127-06-03.593|37-30-24.654|201936889|-101.8144|19.25||||||
43740|1|1|127-06-03.594|37-30-24.978|201936889|-99.47025|22.85||||||
43740|1|1|127-06-03.594|37-30-25.302|201936889|-80.77006|22.56||||||
43740|1|1|127-06-03.594|37-30-25.627|201930926|-90.922676|12.58||||||
43740|1|1|127-06-03.595|37-30-25.951|201932623|-90.03272|7.95||||||
43740|1|1|127-06-03.963|37-29-57.083|20193AI66|-70.179016|35||||||
43740|1|1|127-06-03.964|37-29-57.407|20193AI66|-119.90886|3.65||||||
43740|1|1|127-06-03.964|37-29-57.731|20193AI66|-95.33159|11.85||||||
43740|1|1|127-06-03.964|37-29-58.056|20193AI66|-94.234474|12.63||||||
